rank,title,year,tmdb_id,notes
1,Citizen Kane,1941,,"source rank 1; Welles, Orson; Drama-Mystery; USA"
2,Vertigo,1958,,"source rank 2; Hitchcock, Alfred; Thriller-Drama-Mystery; USA"
3,2001: A Space Odyssey,1968,,"source rank 3; Kubrick, Stanley; Science Fiction; UK-USA"
6,The Godfather,1972,,"source rank 6; Coppola, Francis Ford; Drama-Crime; USA"
8,Sunrise: A Song of Two Humans,1927,,"source rank 8; Murnau, F.W.; Romance-Drama-Crime; USA"
9,The Searchers,1956,,"source rank 9; Ford, John; Western; USA"
11,Singin' in the Rain,1952,,"source rank 11; Donen, Stanley & Gene Kelly; Musical-Dance-Comedy; USA"
13,Apocalypse Now,1979,,"source rank 13; Coppola, Francis Ford; War-Drama-Adventure; USA"
14,Taxi Driver,1976,,"source rank 14; Scorsese, Martin; Drama-Crime; USA"
24,Psycho,1960,,"source rank 24; Hitchcock, Alfred; Thriller-Horror; USA"
26,City Lights,1931,,"source rank 26; Chaplin, Charles; Romance-Comedy; USA"
29,Mulholland Dr.,2001,,"source rank 29; Lynch, David; Mystery-Drama-Thriller; USA-France"
30,The Godfather Part II,1974,,"source rank 30; Coppola, Francis Ford; Drama-Crime; USA"
31,Some Like it Hot,1959,,"source rank 31; Wilder, Billy; Comedy-Romance; USA"
35,Raging Bull,1980,,"source rank 35; Scorsese, Martin; Drama-Biography-Sport; USA"
36,The Night of the Hunter,1955,,"source rank 36; Laughton, Charles; Drama-Crime-Thriller; USA"
37,Casablanca,1942,,"source rank 37; Curtiz, Michael; War-Romance-Drama; USA"
39,Blade Runner,1982,,"source rank 39; Scott, Ridley; Science Fiction-Thriller-Drama; USA"
40,Rear Window,1954,,"source rank 40; Hitchcock, Alfred; Thriller-Mystery; USA"
41,Sunset Blvd.,1950,,"source rank 41; Wilder, Billy; Drama; USA"
42,Touch of Evil,1958,,"source rank 42; Welles, Orson; Thriller-Crime; USA"
50,The General,1926,,"source rank 50; Keaton, Buster & Clyde Bruckman; Comedy-Adventure; USA"
51,Modern Times,1936,,"source rank 51; Chaplin, Charles; Comedy-Romance; USA"
56,The Apartment,1960,,"source rank 56; Wilder, Billy; Drama-Comedy; USA"
57,North by Northwest,1959,,"source rank 57; Hitchcock, Alfred; Thriller-Spy-Romance; USA"
59,GoodFellas,1990,,"source rank 59; Scorsese, Martin; Drama-Crime; USA"
63,Rio Bravo,1959,,"source rank 63; Hawks, Howard; Western; USA"
65,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,"source rank 65; Kubrick, Stanley; War-Comedy; UK-USA"
67,Once Upon a Time in the West,1968,,"source rank 67; Leone, Sergio; Western; Italy-USA"
68,Chinatown,1974,,"source rank 68; Polanski, Roman; Mystery-Crime; USA"
71,Do the Right Thing,1989,,"source rank 71; Lee, Spike; Drama-Comedy; USA"
73,A Woman Under the Influence,1974,,"source rank 73; Cassavetes, John; Drama; USA"
78,It's a Wonderful Life,1946,,"source rank 78; Capra, Frank; Fantasy-Drama-Family; USA"
79,The Wild Bunch,1969,,"source rank 79; Peckinpah, Sam; Western-Action; USA"
80,Pulp Fiction,1994,,"source rank 80; Tarantino, Quentin; Drama-Crime-Comedy; USA"
82,Jaws,1975,,"source rank 82; Spielberg, Steven; Horror-Thriller-Adventure; USA"
83,The Shining,1980,,"source rank 83; Kubrick, Stanley; Horror-Drama; USA-UK"
85,Blue Velvet,1986,,"source rank 85; Lynch, David; Mystery-Crime-Drama; USA"
89,The Man Who Shot Liberty Valance,1962,,"source rank 89; Ford, John; Western; USA"
90,Nashville,1975,,"source rank 90; Altman, Robert; Drama-Music; USA"
91,The Magnificent Ambersons,1942,,"source rank 91; Welles, Orson; Drama; USA"
93,The Gold Rush,1925,,"source rank 93; Chaplin, Charles; Comedy-Adventure-Family; USA"
99,To Be or Not to Be,1942,,"source rank 99; Lubitsch, Ernst; War-Comedy; USA"
110,Annie Hall,1977,,"source rank 110; Allen, Woody; Romance-Comedy; USA"
113,Once Upon a Time in America,1984,,"source rank 113; Leone, Sergio; Drama-Crime; Italy-USA"
114,Greed,1924,,"source rank 114; von Stroheim, Erich; Drama; USA"
115,The Wizard of Oz,1939,,"source rank 115; Fleming, Victor; Musical-Fantasy-Family; USA"
122,Alien,1979,,"source rank 122; Scott, Ridley; Science Fiction-Horror; USA-UK"
123,E.T. The Extra-Terrestrial,1982,,"source rank 123; Spielberg, Steven; Science Fiction-Family; USA"
124,Bringing Up Baby,1938,,"source rank 124; Hawks, Howard; Romance-Comedy; USA"
125,Blow-Up,1966,,"source rank 125; Antonioni, Michelangelo; Mystery-Drama; UK-Italy-USA"
127,Notorious,1946,,"source rank 127; Hitchcock, Alfred; Romance-Thriller-Mystery; USA"
129,Intolerance,1916,,"source rank 129; Griffith, D.W.; History-Drama; USA"
133,Letter from an Unknown Woman,1948,,"source rank 133; Ophüls, Max; Romance-Drama; USA"
134,All About Eve,1950,,"source rank 134; Mankiewicz, Joseph L.; Drama; USA"
137,Star Wars,1977,,"source rank 137; Lucas, George; Science Fiction-Fantasy-Adventure; USA"
138,Imitation of Life,1959,,"source rank 138; Sirk, Douglas; Drama-Romance; USA"
139,His Girl Friday,1940,,"source rank 139; Hawks, Howard; Romance-Comedy; USA"
141,Gone with the Wind,1939,,"source rank 141; Fleming, Victor; History-Romance-Drama; USA"
143,There Will Be Blood,2007,,"source rank 143; Anderson, Paul Thomas; Drama; USA"
144,My Darling Clementine,1946,,"source rank 144; Ford, John; Western; USA"
147,Wanda,1970,,"source rank 147; Loden, Barbara; Drama-Crime; USA"
150,One Flew Over the Cuckoo's Nest,1975,,"source rank 150; Forman, Milos; Drama; USA"
152,The Conversation,1974,,"source rank 152; Coppola, Francis Ford; Thriller-Drama-Mystery; USA"
153,Killer of Sheep,1977,,"source rank 153; Burnett, Charles; Drama; USA"
155,Days of Heaven,1978,,"source rank 155; Malick, Terrence; Romance-Drama; USA"
157,Double Indemnity,1944,,"source rank 157; Wilder, Billy; Mystery-Crime-Drama; USA"
158,Trouble in Paradise,1932,,"source rank 158; Lubitsch, Ernst; Romance-Comedy; USA"
159,The Deer Hunter,1978,,"source rank 159; Cimino, Michael; War-Drama; USA"
165,Manhattan,1979,,"source rank 165; Allen, Woody; Romance-Comedy; USA"
166,Rosemary's Baby,1968,,"source rank 166; Polanski, Roman; Thriller-Horror-Drama; USA"
168,Badlands,1973,,"source rank 168; Malick, Terrence; Drama-Crime; USA"
170,The Texas Chain Saw Massacre,1974,,"source rank 170; Hooper, Tobe; Horror-Thriller; USA"
174,Raiders of the Lost Ark,1981,,"source rank 174; Spielberg, Steven; Adventure-Action; USA"
175,Only Angels Have Wings,1939,,"source rank 175; Hawks, Howard; Drama-Adventure-Romance; USA"
176,Stagecoach,1939,,"source rank 176; Ford, John; Western-Adventure-Drama; USA"
179,Duck Soup,1933,,"source rank 179; McCarey, Leo; Comedy; USA"
180,Close Encounters of the Third Kind,1977,,"source rank 180; Spielberg, Steven; Science Fiction-Adventure; USA"
181,The Birds,1963,,"source rank 181; Hitchcock, Alfred; Drama-Horror-Mystery; USA"
182,Johnny Guitar,1954,,"source rank 182; Ray, Nicholas; Western-Drama; USA"
189,Out of the Past,1947,,"source rank 189; Tourneur, Jacques; Crime-Drama-Mystery; USA"
191,The River,1951,,"source rank 191; Renoir, Jean; Romance-Drama; France-India-USA"
192,The Tree of Life,2011,,"source rank 192; Malick, Terrence; Drama; USA"
198,King Kong,1933,,"source rank 198; Cooper, Merian C. & Ernest B. Schoedsack; Fantasy-Adventure-Horror; USA"
203,The Lady Eve,1941,,"source rank 203; Sturges, Preston; Romance-Comedy; USA"
204,On the Waterfront,1954,,"source rank 204; Kazan, Elia; Drama-Crime; USA"
208,The Thing,1982,,"source rank 208; Carpenter, John; Science Fiction-Action-Horror; USA"
210,The Great Dictator,1940,,"source rank 210; Chaplin, Charles; War-Comedy-Political; USA"
211,Magnolia,1999,,"source rank 211; Anderson, Paul Thomas; Drama; USA"
215,Moonlight,2016,,"source rank 215; Jenkins, Barry; Drama; USA"
218,The Quiet Man,1952,,"source rank 218; Ford, John; Romance-Drama-Comedy; USA"
226,The Grapes of Wrath,1940,,"source rank 226; Ford, John; Drama; USA"
227,The Big Lebowski,1998,,"source rank 227; Coen, Joel & Ethan Coen; Comedy-Crime; USA-UK"
228,Eternal Sunshine of the Spotless Mind,2004,,"source rank 228; Gondry, Michel; Romance-Drama-Comedy; USA"
229,The Best Years of Our Lives,1946,,"source rank 229; Wyler, William; War-Drama; USA"
232,Sullivan's Travels,1941,,"source rank 232; Sturges, Preston; Romance-Comedy; USA"
233,Back to the Future,1985,,"source rank 233; Zemeckis, Robert; Science Fiction-Comedy-Adventure; USA"
234,The Matrix,1999,,"source rank 234; Wachowski, Lana & Lilly Wachowski; Science Fiction-Action-Adventure; USA-Australia"
235,McCabe & Mrs. Miller,1971,,"source rank 235; Altman, Robert; Western-Drama; USA"
238,Love Streams,1984,,"source rank 238; Cassavetes, John; Drama; USA"
241,The Crowd,1928,,"source rank 241; Vidor, King; Drama; USA"
245,Eraserhead,1977,,"source rank 245; Lynch, David; Horror-Fantasy; USA"
247,In a Lonely Place,1950,,"source rank 247; Ray, Nicholas; Drama-Mystery; USA"
248,The Band Wagon,1953,,"source rank 248; Minnelli, Vincente; Musical-Dance-Comedy; USA"
249,The Graduate,1967,,"source rank 249; Nichols, Mike; Drama-Comedy-Romance; USA"
251,Schindler's List,1993,,"source rank 251; Spielberg, Steven; War-History-Drama; USA"
252,Caché,2005,,"source rank 252; Haneke, Michael; Thriller-Drama; France-Austria-Germany-Italy-USA"
255,The Exorcist,1973,,"source rank 255; Friedkin, William; Horror; USA"
256,Heat,1995,,"source rank 256; Mann, Michael; Thriller-Drama-Crime; USA"
257,Meet Me in St. Louis,1944,,"source rank 257; Minnelli, Vincente; Musical-Family-Drama; USA"
258,The Thin Red Line,1998,,"source rank 258; Malick, Terrence; War-Drama; USA"
260,Daughters of the Dust,1991,,"source rank 260; Dash, Julie; History-Drama; USA-UK"
263,Eyes Wide Shut,1999,,"source rank 263; Kubrick, Stanley; Drama-Mystery-Thriller; USA-UK"
265,Fargo,1996,,"source rank 265; Coen, Joel & Ethan Coen; Drama-Crime-Comedy; USA"
268,The Treasure of the Sierra Madre,1948,,"source rank 268; Huston, John; Adventure-Drama; USA"
271,Red River,1948,,"source rank 271; Hawks, Howard; Western; USA"
272,Tabu,1931,,"source rank 272; Murnau, F.W.; Romance-Drama-Adventure; USA"
277,Sweet Smell of Success,1957,,"source rank 277; Mackendrick, Alexander; Drama; USA"
282,All That Jazz,1979,,"source rank 282; Fosse, Bob; Musical-Fantasy-Drama; USA"
283,Groundhog Day,1993,,"source rank 283; Ramis, Harold; Romance-Fantasy-Comedy; USA"
284,The Shop Around the Corner,1940,,"source rank 284; Lubitsch, Ernst; Romance-Comedy; USA"
285,Paths of Glory,1957,,"source rank 285; Kubrick, Stanley; War-Drama; USA"
294,All That Heaven Allows,1955,,"source rank 294; Sirk, Douglas; Romance-Drama; USA"
296,Cabaret,1972,,"source rank 296; Fosse, Bob; Musical-Drama-Dance; USA"
300,Unforgiven,1992,,"source rank 300; Eastwood, Clint; Western; USA"
301,The Big Sleep,1946,,"source rank 301; Hawks, Howard; Mystery-Crime; USA"
302,Mean Streets,1973,,"source rank 302; Scorsese, Martin; Drama-Crime; USA"
305,The Empire Strikes Back,1980,,"source rank 305; Kershner, Irvin; Science Fiction-Fantasy-Adventure; USA"
306,The Maltese Falcon,1941,,"source rank 306; Huston, John; Mystery-Crime; USA"
313,Freaks,1932,,"source rank 313; Browning, Tod; Horror-Drama; USA"
314,Midnight Cowboy,1969,,"source rank 314; Schlesinger, John; Drama; USA"
318,Faces,1968,,"source rank 318; Cassavetes, John; Drama; USA"
320,Amadeus,1984,,"source rank 320; Forman, Milos; Musical-Biography-Drama; USA"
322,The King of Comedy,1982,,"source rank 322; Scorsese, Martin; Drama-Comedy; USA"
326,Monsieur Verdoux,1947,,"source rank 326; Chaplin, Charles; Crime-Comedy; USA"
327,Harold and Maude,1971,,"source rank 327; Ashby, Hal; Comedy-Drama-Romance; USA"
328,Husbands,1970,,"source rank 328; Cassavetes, John; Drama; USA"
333,The Philadelphia Story,1940,,"source rank 333; Cukor, George; Romance-Comedy; USA"
334,Dog Day Afternoon,1975,,"source rank 334; Lumet, Sidney; Drama-Crime; USA"
337,The Kid,1921,,"source rank 337; Chaplin, Charles; Drama-Comedy-Family; USA"
339,West Side Story,1961,,"source rank 339; Wise, Robert & Jerome Robbins; Musical-Dance-Drama; USA"
341,Mad Max: Fury Road,2015,,"source rank 341; Miller, George; Action-Adventure-Science Fiction; Australia-USA"
343,Bonnie and Clyde,1967,,"source rank 343; Penn, Arthur; Drama-Crime-Biography; USA"
344,Some Came Running,1958,,"source rank 344; Minnelli, Vincente; Drama; USA"
345,Get Out,2017,,"source rank 345; Peele, Jordan; Horror-Mystery-Thriller; USA-Japan"
347,Broken Blossoms,1919,,"source rank 347; Griffith, D.W.; Romance-Drama; USA"
348,Kiss Me Deadly,1955,,"source rank 348; Aldrich, Robert; Crime-Mystery-Thriller; USA"
349,Underground,1995,,"source rank 349; Kusturica, Emir; War-Drama-Comedy; Yugoslavia-France-Germany-Bulgaria-Czech Republic-Hungary-UK-USA"
352,Aliens,1986,,"source rank 352; Cameron, James; Science Fiction-Horror-Action; USA"
353,The Last Picture Show,1971,,"source rank 353; Bogdanovich, Peter; Drama; USA"
354,It Happened One Night,1934,,"source rank 354; Capra, Frank; Romance-Comedy; USA"
355,The Elephant Man,1980,,"source rank 355; Lynch, David; Drama-Biography; USA"
357,Opening Night,1977,,"source rank 357; Cassavetes, John; Drama; USA"
362,The Silence of the Lambs,1991,,"source rank 362; Demme, Jonathan; Crime-Drama-Thriller; USA"
363,Night of the Living Dead,1968,,"source rank 363; Romero, George A.; Horror; USA"
366,How Green Was My Valley,1941,,"source rank 366; Ford, John; Drama; USA"
367,Written on the Wind,1956,,"source rank 367; Sirk, Douglas; Drama; USA"
369,Safe,1995,,"source rank 369; Haynes, Todd; Drama; USA"
371,All the President's Men,1976,,"source rank 371; Pakula, Alan J.; Political-Drama-History; USA"
374,Make Way for Tomorrow,1937,,"source rank 374; McCarey, Leo; Drama; USA"
375,Heaven's Gate,1980,,"source rank 375; Cimino, Michael; Western-Drama-History; USA"
376,The Killing of a Chinese Bookie,1976,,"source rank 376; Cassavetes, John; Drama-Crime; USA"
381,Marnie,1964,,"source rank 381; Hitchcock, Alfred; Crime-Drama-Mystery; USA"
382,This is Spinal Tap,1984,,"source rank 382; Reiner, Rob; Comedy-Music; USA"
384,Two-Lane Blacktop,1971,,"source rank 384; Hellman, Monte; Drama; USA"
386,An Affair to Remember,1957,,"source rank 386; McCarey, Leo; Romance-Drama; USA"
388,Lost Highway,1997,,"source rank 388; Lynch, David; Mystery-Drama-Thriller; USA-France"
390,Stranger Than Paradise,1984,,"source rank 390; Jarmusch, Jim; Comedy-Drama; USA-West Germany"
398,The Long Goodbye,1973,,"source rank 398; Altman, Robert; Drama-Crime-Mystery; USA"
404,Fantasia,1940,,source rank 404; Various Directors; Fantasy-Family-Animation; USA
408,The Birth of a Nation,1915,,"source rank 408; Griffith, D.W.; War-History-Drama; USA"
409,Dawn of the Dead,1978,,"source rank 409; Romero, George A.; Horror-Action; USA"
410,Crimes and Misdemeanors,1989,,"source rank 410; Allen, Woody; Drama-Comedy; USA"
415,Lost in Translation,2003,,"source rank 415; Coppola, Sofia; Romance-Drama-Comedy; USA-Japan"
418,Snow White and the Seven Dwarfs,1937,,"source rank 418; Hand, David; Animation-Family-Fantasy; USA"
420,Splendor in the Grass,1961,,"source rank 420; Kazan, Elia; Drama-Romance; USA"
425,Network,1976,,"source rank 425; Lumet, Sidney; Drama; USA"
429,The Awful Truth,1937,,"source rank 429; McCarey, Leo; Romance-Comedy; USA"
431,Chelsea Girls,1966,,"source rank 431; Warhol, Andy; Drama-Avant-Garde; USA"
432,Bride of Frankenstein,1935,,"source rank 432; Whale, James; Horror-Science Fiction; USA"
433,A.I. Artificial Intelligence,2001,,"source rank 433; Spielberg, Steven; Science Fiction-Drama; USA"
437,Casino,1995,,"source rank 437; Scorsese, Martin; Drama-Crime; USA"
439,No Country for Old Men,2007,,"source rank 439; Coen, Joel & Ethan Coen; Crime-Drama-Thriller; USA"
440,Phantom Thread,2017,,"source rank 440; Anderson, Paul Thomas; Drama-Romance; USA-China"
442,A Star is Born,1954,,"source rank 442; Cukor, George; Musical-Drama; USA"
446,Carrie,1976,,"source rank 446; De Palma, Brian; Horror-Thriller; USA"
447,Boogie Nights,1997,,"source rank 447; Anderson, Paul Thomas; Drama; USA"
449,The Shawshank Redemption,1994,,"source rank 449; Darabont, Frank; Prison-Drama; USA"
454,Limelight,1952,,"source rank 454; Chaplin, Charles; Drama-Comedy; USA"
455,The Cameraman,1928,,"source rank 455; Keaton, Buster & Edward Sedgwick; Romance-Comedy; USA"
456,The Scarlet Empress,1934,,"source rank 456; von Sternberg, Josef; History-Drama-Biography; USA"
458,The Wind,1928,,"source rank 458; Sjöström, Victor; Drama; USA"
466,Pan's Labyrinth,2006,,"source rank 466; del Toro, Guillermo; Drama-Fantasy-Thriller; Spain-Mexico-USA"
470,Pinocchio,1940,,"source rank 470; Sharpsteen, Ben & Hamilton Luske; Fantasy-Family-Animation; USA"
474,The Dead,1987,,"source rank 474; Huston, John; Drama; USA"
478,Elephant,2003,,"source rank 478; Van Sant, Gus; Drama; USA"
479,Wagon Master,1950,,"source rank 479; Ford, John; Western; USA"
482,High Noon,1952,,"source rank 482; Zinnemann, Fred; Western; USA"
483,To Kill a Mockingbird,1962,,"source rank 483; Mulligan, Robert; Drama-Crime; USA"
484,Talk to Her,2002,,"source rank 484; Almodóvar, Pedro; Drama-Mystery-Romance; Spain-USA"
487,"Steamboat Bill, Jr.",1928,,"source rank 487; Keaton, Buster & Charles Reisner; Comedy-Adventure; USA"
489,Five Easy Pieces,1970,,"source rank 489; Rafelson, Bob; Drama; USA"
490,The Palm Beach Story,1942,,"source rank 490; Sturges, Preston; Romance-Comedy; USA"
492,Fight Club,1999,,"source rank 492; Fincher, David; Drama; USA-Germany"
496,Zama,2017,,"source rank 496; Martel, Lucrecia; Drama-History; Argentina-Brazil-Spain-Dominican Republic-France-Netherlands-Mexico-Switzerland-USA-Portugal-Lebanon"
498,Children of Men,2006,,"source rank 498; Cuarón, Alfonso; Drama-Science Fiction-Thriller; USA-UK"
499,Reservoir Dogs,1992,,"source rank 499; Tarantino, Quentin; Drama-Crime-Thriller; USA"
